https://www.youtube.com/watch?v=Z53fBQe5h_I
State of Pulp,mhrivnak,0:17
Community Update,bmbouter,2:10
Authenticating against docker registry with basic auth,bizhang,4:35,2.14.1
Fix for applicability tasks not being cancelled on worker restart,dalley,7:30
